ScientificName
Dryopteris intermedia
Dryopteris marginalis
Polystichum acrostichoides
Diospyros virginiana
Elaeagnus angustifolia
Elaeagnus umbellata
Shepherdia canadensis
Equisetum arvense
Equisetum fluviatile
Equisetum hyemale
Equisetum laevigatum
Equisetum sylvaticum
Equisetum variegatum
Andromeda polifolia
Arctostaphylos uva-ursi
Chamaedaphne calyculata
Chimaphila maculata
Chimaphila umbellata
Epigaea repens
Gaultheria procumbens
Gaylussacia baccata
Hypopitys monotropa
Kalmia latifolia
Monotropa uniflora
Orthilia secunda
Oxydendrum arboreum
Pyrola americana
Pyrola asarifolia
Pyrola chlorantha
Pyrola elliptica
Vaccinium angustifolium
Vaccinium arboreum
Vaccinium corymbosum
Vaccinium macrocarpon
Vaccinium myrtilloides
Vaccinium oxycoccos
Vaccinium pallidum
Vaccinium stamineum
Eriocaulon aquaticum
Eucommia ulmoides
Acalypha deamii
Acalypha gracilens
Acalypha ostryifolia
Acalypha rhomboidea
Acalypha virginica
Croton capitatus
Croton glandulosus
Croton michauxii
Croton monanthogynus
Euphorbia commutata
Euphorbia corollata
Euphorbia cyathophora
Euphorbia cyparissias
Euphorbia davidii
Euphorbia dentata
Euphorbia glyptosperma
Euphorbia humistrata
Euphorbia maculata
Euphorbia marginata
Euphorbia nutans
Euphorbia peplus
Euphorbia polygonifolia
Euphorbia prostrata
Euphorbia serpens
Euphorbia spathulata
Euphorbia vermiculata
Euphorbia virgata
Ricinus communis
Tragia cordata
Acmispon americanus
Albizia julibrissin
Amorpha canescens
Amorpha fruticosa
Amphicarpaea bracteata
Apios americana
Astragalus canadensis
Astragalus cicer
Astragalus glycyphyllos
Astragalus tennesseensis
Baptisia alba
Baptisia australis
Baptisia leucophaea
Baptisia tinctoria
Cercis canadensis
Chamaecrista fasciculata
Chamaecrista nictitans
Cladrastis kentukea
Clitoria mariana
Crotalaria sagittalis
Dalea candida
Dalea leporina
Dalea purpurea
Desmanthus illinoensis
Desmodium canadense
Desmodium canescens
Desmodium ciliare
Desmodium cuspidatum
Desmodium glabellum
Desmodium illinoense
Desmodium laevigatum
Desmodium marilandicum
Desmodium nuttallii
Desmodium obtusum
Desmodium paniculatum
Desmodium perplexum
Desmodium rotundifolium
Desmodium sessilifolium
Desmodium viridiflorum
Galactia volubilis
Gleditsia aquatica
Gleditsia triacanthos
Glycine max
Glycyrrhiza lepidota
Gymnocladus dioicus
Hylodesmum glutinosum
Hylodesmum nudiflorum
Hylodesmum pauciflorum
Kummerowia stipulacea
Kummerowia striata
Lathyrus japonicus
Lathyrus latifolius
Lathyrus ochroleucus
Lathyrus palustris
Lathyrus tuberosus
Lathyrus venosus
Lespedeza bicolor
Lespedeza capitata
Lespedeza cuneata
Lespedeza frutescens
Lespedeza hirta
Lespedeza procumbens
Lespedeza repens
Lespedeza stuevei
Lespedeza thunbergii
Lespedeza violacea
Lespedeza virginica
Lotus corniculatus
Lotus tenuis
Lupinus perennis
Medicago lupulina
Medicago sativa
Melilotus altissimus
Melilotus officinalis
Orbexilum onobrychis
Orbexilum pedunculatum
Pediomelum tenuiflorum
Phaseolus polystachios
Pueraria montana
Robinia hispida
Robinia neomexicana
Robinia pseudoacacia
Robinia viscosa
Securigera varia
Senna hebecarpa
Senna marilandica
Senna obtusifolia
Strophostyles helvola
Strophostyles leiosperma
Strophostyles umbellata
Stylosanthes biflora
Tephrosia virginiana
Trifolium arvense
Trifolium aureum
Trifolium campestre
Trifolium dubium
Trifolium hybridum
Trifolium incarnatum
Trifolium pratense
Trifolium reflexum
Trifolium repens
Trifolium stoloniferum
Vicia americana
Vicia caroliniana
Vicia cracca
Vicia sativa
Vicia tetrasperma
Vicia villosa
Wisteria frutescens
Wisteria sinensis
Castanea dentata
Fagus grandifolia
Quercus alba
Quercus bicolor
Quercus coccinea
Quercus ellipsoidalis
Quercus falcata
Quercus imbricaria
Quercus lyrata
Quercus macrocarpa
Quercus marilandica
Quercus michauxii
Quercus montana
Quercus muehlenbergii
Quercus pagoda
Quercus palustris
Quercus prinoides
Quercus rubra
Quercus shumardii
Quercus stellata
Quercus velutina
Bartonia paniculata
Bartonia virginica
Centaurium erythraea
Centaurium pulchellum
Frasera caroliniensis
Gentiana alba
Gentiana andrewsii
Gentiana puberulenta
Gentiana saponaria
Gentiana villosa
Gentianella quinquefolia
Gentianopsis crinita
Gentianopsis virgata
Obolaria virginica
Sabatia angularis
Sabatia campanulata
Erodium cicutarium
Geranium bicknellii
Geranium carolinianum
Geranium columbinum
Geranium maculatum
Geranium pusillum
Geranium robertianum
Geranium sanguineum
Ribes americanum
Ribes aureum
Ribes cynosbati
Ribes hirtellum
Ribes missouriense
Ribes rubrum
Ribes uva-crispa
Myriophyllum aquaticum
Myriophyllum heterophyllum
Myriophyllum pinnatum
Myriophyllum sibiricum
Myriophyllum spicatum
Myriophyllum tenellum
Myriophyllum verticillatum
Proserpinaca palustris
Hamamelis virginiana
Hydrangea arborescens
Hydrangea cinerea
Philadelphus coronarius
Philadelphus inodorus
Philadelphus pubescens
Egeria densa
Elodea canadensis
Elodea nuttallii
Hydrilla verticillata
Limnobium spongia
Najas flexilis
Najas gracillima
Najas guadalupensis
Najas marina
Najas minor
Vallisneria americana
Crepidomanes intricatum
Vandenboschia boschiana
Hypericum adpressum
Hypericum ascyron
Hypericum boreale
Hypericum canadense
Hypericum dolabriforme
Hypericum drummondii
Hypericum frondosum
Hypericum gentianoides
Hypericum gymnanthum
